CANALE;DATA;Npdv;VALORE;QUANTITA;;;;
1;01/06/2016;32;14726052;9106235;;;;
1;01/07/2016;32;15729728;9997495;;;;
1;01/08/2016;32;15183737;9230188;;;;
1;01/09/2016;32;14513774;8919835;;;;
1;01/10/2016;32;15171565;8776256;;;;
1;01/11/2016;32;14374254;8323627;;;;
1;01/12/2016;32;16237634;8842403;;;;
1;01/01/2017;32;13948884;8314888;;;;
1;01/02/2017;32;13605525;7971560;;;;
1;01/03/2017;32;14917677;8808863;;;;
1;01/04/2017;32;15171661;8815265;;;;
1;01/05/2017;32;14625193;8664285;;;;
1;01/06/2017;32;14829500;9468763;;;;
1;01/07/2017;32;15463188;9849296;;;;
1;01/08/2017;32;15614914;10089565;;;;
1;01/09/2017;32;15233077;9011546;;;;
1;01/10/2017;32;15386077;9123333;;;;
1;01/11/2017;32;15009576;8717704;;;;
1;01/12/2017;33;18002497;9853386;;;;
1;01/01/2018;33;14561863;9116972;;;;
1;01/02/2018;33;14931348;9364964;;;;
1;01/03/2018;33;17651803;10579523;;;;
1;01/04/2018;33;15043898;9501111;;;;
1;01/05/2018;34;16294864;10273361;;;;
1;01/06/2018;34;16534439;10807912;;;;
1;01/07/2018;34;16751223;11137913;;;;
1;01/08/2018;34;16790241;11164197;;;;
1;01/09/2018;34;16260205;10323385;;;;
1;01/10/2018;34;16844206;10506919;;;;
1;01/11/2018;34;16440516;9955907;;;;
1;01/12/2018;34;19265406;10893698;;;;
1;01/01/2019;34;16081676;10129633;;;;
1;01/02/2019;34;15607373;9596851;;;;
1;01/03/2019;34;17704428;10885597;;;;
1;01/04/2019;34;17624866;10410061;;;;
1;01/05/2019;34;17170520;10613481;;;;
1;01/06/2019;34;17003130;11045209;;;;
1;01/07/2019;34;17502934;11347283;;;;
1;01/08/2019;34;17349626;11104619;;;;
1;01/09/2019;34;16540033;10213891;;;;
1;01/10/2019;34;17690949;10663195;;;;
1;01/11/2019;34;17727724;10501903;;;;
1;01/12/2019;35;20382541;11251718;;;;
1;01/01/2020;35;17798720;10713946;;;;
1;01/02/2020;35;19113935;11693447;;;;
1;01/03/2020;35;22233334;13256069;;;;
1;01/04/2020;35;21074751;11920857;;;;
1;01/05/2020;35;19635023;11717898;;;;
1;01/06/2020;35;18328382;11141765;;;;
1;01/07/2020;35;18516676;11787379;;;;
1;01/08/2020;35;18852725;11874358;;;;
1;01/09/2020;36;18974479;11532315;;;;
1;01/10/2020;36;20720397;12273382;;;;
1;01/11/2020;36;20127903;11618357;;;;
1;01/12/2020;36;23844616;12798156;;;;
1;01/01/2021;36;20575595;12158050;;;;
1;01/02/2021;36;18864468;11214519;;;;
1;01/03/2021;36;22683835;13120176;;;;
1;01/04/2021;36;21362910;12430293;;;;
1;01/05/2021;36;19898771;11822022;;;;
1;01/06/2021;36;19188807;11973005;;;;
1;01/07/2021;37;20219436;12835650;;;;
1;01/08/2021;37;19805629;12409583;;;;
1;01/09/2021;37;19492637;11974214;;;;
1;01/10/2021;37;20698228;12019263;;;;
1;01/11/2021;37;19815615;11367696;;;;
1;01/12/2021;37;23236235;12478410;;;;
1;01/01/2022;37;20807133;11890729;;;;
1;01/02/2022;37;19093259;10950816;;;;
1;01/03/2022;37;21423894;12390626;;;;
1;01/04/2022;37;21264582;11443251;;;;
1;01/05/2022;37;20866436;12014487;;;;
1;01/06/2022;37;20374355;11808073;;;;
1;01/07/2022;37;21808627;12749327;;;;
1;01/08/2022;37;21307376;12198401;;;;
1;01/09/2022;37;21327580;11776479;;;;
1;01/10/2022;37;22599231;12076769;;;;
2;01/01/2005;10;4537268;3258491;;;;
2;01/02/2005;10;4505435;3290646;;;;
2;01/03/2005;10;6349726;4309582;;;;
2;01/04/2005;10;6222342;4486899;;;;
2;01/05/2005;10;7628105;5663967;;;;
2;01/06/2005;10;9316801;7065118;;;;
2;01/07/2005;10;10155299;7766851;;;;
2;01/08/2005;10;11158001;7989852;;;;
2;01/09/2005;10;6836414;4938730;;;;
2;01/10/2005;10;5771273;4011545;;;;
2;01/11/2005;10;5824466;3841659;;;;
2;01/12/2005;10;8514444;4401355;;;;
2;01/01/2006;10;5123539;3594272;;;;
2;01/02/2006;10;5026208;3476166;;;;
2;01/03/2006;10;6252706;4275361;;;;
2;01/04/2006;10;7715039;5246205;;;;
2;01/05/2006;10;8394036;6050419;;;;
2;01/06/2006;10;10506965;7739415;;;;
2;01/07/2006;10;11271805;8524265;;;;
2;01/08/2006;10;12374692;8427870;;;;
2;01/09/2006;10;7603921;5227654;;;;
2;01/10/2006;10;6218384;4234296;;;;
2;01/11/2006;10;6410396;4117240;;;;
2;01/12/2006;10;9240736;4631873;;;;
2;01/01/2007;10;5590830;3859598;;;;
2;01/02/2007;10;5305260;3683171;;;;
2;01/03/2007;10;7047708;4707097;;;;
2;01/04/2007;10;7985391;5394378;;;;
2;01/05/2007;10;8873613;6438295;;;;
2;01/06/2007;10;10689814;7631992;;;;
2;01/07/2007;10;12207063;9278042;;;;
2;01/08/2007;10;13302263;9342052;;;;
2;01/09/2007;10;7631208;5120970;;;;
2;01/10/2007;10;7026054;4646002;;;;
2;01/11/2007;10;6772879;4138812;;;;
2;01/12/2007;10;9915254;4721589;;;;
2;01/01/2008;10;5984529;3881859;;;;
2;01/02/2008;10;6172305;4129032;;;;
2;01/03/2008;10;7461887;4751867;;;;
2;01/04/2008;10;8287130;5439130;;;;
2;01/05/2008;10;9370229;6215194;;;;
2;01/06/2008;10;11073901;7424662;;;;
2;01/07/2008;11;13656150;9660034;;;;
2;01/08/2008;11;13962376;9413459;;;;
2;01/09/2008;11;8376575;5439138;;;;
2;01/10/2008;11;7578213;4768114;;;;
2;01/11/2008;11;6820766;4042489;;;;
2;01/12/2008;11;10486257;4898590;;;;
2;01/01/2009;11;6185504;3930106;;;;
2;01/02/2009;11;5963997;3842739;;;;
2;01/03/2009;11;7082153;4625309;;;;
2;01/04/2009;11;9202888;5803537;;;;
2;01/05/2009;11;9557756;6735887;;;;
2;01/06/2009;11;11821916;8176528;;;;
2;01/07/2009;11;14229665;10231546;;;;
2;01/08/2009;11;14111534;9915700;;;;
2;01/09/2009;11;8715764;5939945;;;;
2;01/10/2009;11;7495177;4813196;;;;
2;01/11/2009;11;6762148;4104042;;;;
